Fecha;Nombre Stocks;Tonelaje [Ton];Leyes de Elementos;;;;;pH Natural ;Arcillas;;;;;Sulfuros de Cobre;;;;;Pirita [%]
;;;CuT [%];CuS [%];As [ppm];Mo [ppm];FeT [%];;Pirofilita    [%];Caolinita [%];Illita          [%];Muscovita [%];Suma de Arcillas [%];Bornita   [%];Calcocina [%];Calcopirita [%];Covelina [%];Enargita [%];
08-01-2024;RS1-STOCKCR04/SAL; 25.989 ; 1,25 ; 0,072 ; 377 ; 434 ; 2,72 ; 7,0 ; 0,3 ; 0,7 ; 10,9 ; 14,2 ; 11,9 ; 0,9 ; 0,1 ; 1,8 ; 0,0 ; 0,0 ; 3,0 
09-01-2024;RS1-GAVIOTA/SAL; 8.739 ; 1,90 ; 0,140 ; 2.250 ; 173 ; 6,11 ; 6,8 ; 2,5 ; 1,8 ; 13,5 ; 18,2 ; 17,8 ; 0,3 ; 2,1 ; 1,0 ; 0,1 ; 0,0 ; 8,1 
09-01-2024;RS1-PARINA/SME; 21.981 ; 0,80 ; 0,040 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
09-01-2024;RS1-STOCKCR04/SAL; 4.795 ; 1,21 ; 0,060 ; 135 ; 376 ; 1,95 ; 7,0 ; 0,3 ; 0,7 ; 10,9 ; 14,2 ; 11,9 ; 0,9 ; 0,1 ; 1,8 ; 0,0 ; 0,0 ; 3,0 
10-01-2024;RS1-GAVIOTA/SAL; 19.418 ; 1,90 ; 0,142 ; 2.250 ; 173 ; 6,11 ; 6,8 ; 3,6 ; 2,7 ; 11,6 ; 14,4 ; 17,8 ; 0,5 ; 1,0 ; 1,0 ; 0,0 ; 0,3 ; 10,7 
10-01-2024;RS1-PARINA/SME; 27.006 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
10-01-2024;RS1-STOCKCR04/SAL; 8.857 ; 1,17 ; 0,059 ; 105 ; 311 ; 1,83 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
10-01-2024;RS2-STOCKCR04/SAL; 6.556 ; 1,34 ; 0,129 ; 285 ; 171 ; 4,44 ; 6,8 ; 3,0 ; 1,5 ; 11,8 ; 15,3 ; 16,4 ; 0,3 ; 0,3 ; 0,8 ; 0,0 ; 0,1 ; 11,3 
11-01-2024;RS1-GAVIOTA/SAL; 3.102 ; 1,91 ; 0,143 ; 2.250 ; 173 ; 6,11 ; 6,8 ; 3,2 ; 2,4 ; 11,3 ; 14,9 ; 16,9 ; 0,5 ; 0,8 ; 1,0 ; 0,0 ; 0,3 ; 9,2 
11-01-2024;RS1-PARINA/SME; 24.494 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
11-01-2024;RS1-STOCKCR04/SAL; 18.005 ; 1,18 ; 0,054 ; 144 ; 354 ; 2,05 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
12-01-2024;RS1-PARINA/SME; 40.171 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
12-01-2024;RS1-STOCKCR04/SAL; 25.193 ; 1,26 ; 0,067 ; 132 ; 351 ; 2,23 ; 6,9 ; 0,6 ; 0,8 ; 9,6 ; 13,9 ; 11,0 ; 0,8 ; 0,2 ; 1,8 ; 0,0 ; 0,1 ; 2,4 
13-01-2024;RS1-PARINA/SME; 54.130 ; 0,80 ; 0,037 ; 93 ; 272 ; 3,34 ; 7,3 ; 0,1 ; 0,5 ; 7,1 ; 8,8 ; 7,7 ; 0,1 ; 0,1 ; 2,0 ; 0,0 ; 0,0 ; 2,4 
